name,osm_id,mid_lat,mid_lng,node_count,data_source,highway_type,surface,lanes,maxspeed,oneway,bridge,tunnel,lit,sidewalk,cycleway,width,access,ref
,158376389,40.44273872,-79.94388753999999,5,osm,steps,wood,,,,,,,,,,,
,158376391,40.44269315,-79.94358919999999,2,osm,footway,concrete,,,,,,yes,,,,,
,158376393,40.442587399999994,-79.94363165,2,osm,footway,concrete:plates,,,,,,yes,,,,,
,158383664,40.44304932,-79.9447756,5,osm,service,,,,,,,,,,,destination,
,158385157,40.44307335,-79.94499095,2,osm,service,,,,,,,,,,,private,
,158385158,40.4430351,-79.9449056,2,osm,service,,,,,,,,,,,destination,
,158389583,40.4431491,-79.94525713333333,3,osm,service,,,,,,,,,,,private,
,158396604,40.443755466666666,-79.94397228333334,6,osm,service,asphalt,,,,,,,,,,private,
,158610234,40.44429045,-79.9428836,2,osm,steps,concrete,,,,,,yes,,,,,
,159242085,40.442685,-79.94166815,2,osm,footway,concrete,,,,,,,,,,destination,
,159242086,40.4419836,-79.94193285,2,osm,footway,concrete,,,,,,,,,,destination,
,159242087,40.44203805,-79.94191245,2,osm,steps,concrete,,,,,,,,,,destination,
,159242088,40.44261775,-79.9416932,2,osm,steps,concrete,,,,,,,,,,destination,
,159242089,40.44233115,-79.94180185,2,osm,footway,concrete,,,,,,,,,,destination,
,159454804,40.443749275,-79.9448281,4,osm,steps,concrete,,,,,,,,,,,
,159454805,40.44380375,-79.94477325,2,osm,footway,asphalt,,,,,,yes,,,,,
,159454806,40.44383282941176,-79.94461645882353,17,osm,footway,asphalt,,,,,,yes,,,,,
